Time,QueuePackets
0.00100464,1
0.00100464,0
0.00100464,1
0.00100464,2
0.00100464,3
0.00105104,2
0.00109744,1
0.00114384,0
0.0451157,1
0.0451157,0
0.0451621,1
0.0451621,0
0.0451629,1
0.0452053,0
0.0452085,1
0.0452093,2
0.0452101,3
0.0452549,4
0.0452557,5
0.0452565,6
0.0452573,7
0.0453021,8
0.0453029,9
0.0453037,10
0.0453045,11
0.0453493,12
0.0453501,13
0.0453509,14
0.0453517,15
0.0453965,16
0.0453973,17
0.0453981,18
0.0453989,19
0.0454437,20
0.0454445,21
0.0454453,22
0.0454461,23
0.0454909,24
0.0454917,25
0.0454925,26
0.0454933,27
0.0455381,28
0.0455389,29
0.0455397,30
0.0455405,31
0.0455853,32
0.0455861,33
0.0455869,34
0.0455877,35
0.0456325,36
0.0456333,37
0.0456341,38
0.0456773,37
0.0456797,38
0.0456805,39
0.0457205,38
0.0457269,39
0.0461925,38
0.0466645,37
0.0467077,36
0.0471797,35
0.0476517,34
0.0481237,33
0.0485957,32
0.0490677,31
0.0495397,30
0.0500117,29
0.0504837,28
0.0509557,27
0.0514277,26
0.0518997,25
0.0523717,24
0.0528437,23
0.0533157,22
0.0537877,21
0.0542597,20
0.0547317,19
0.0552037,18
0.0556757,17
0.0561477,16
0.0566197,15
0.0570917,14
0.0575637,13
0.0580357,12
0.0585077,11
0.0589797,10
0.0594517,9
0.0599237,8
0.0603957,7
0.0608677,6
0.0613397,5
0.0618117,4
0.0622837,3
0.0627557,2
0.0632277,1
0.0636997,0
0.0898235,1
0.0898235,0
0.0898707,1
0.0902955,0
0.0903387,1
0.0903859,2
0.0907675,1
0.0912395,0
0.0913259,1
0.0917115,0
0.0922699,1
0.0922699,0
0.0923171,1
0.0923643,2
0.0927419,3
0.0927419,2
0.0927891,3
0.0928484,4
0.0932139,3
0.0936859,4
0.0936859,3
0.0937331,4
0.0937803,5
0.0938275,6
0.0941579,5
0.0946299,4
0.0951019,5
0.0951019,4
0.0955739,3
0.0960459,4
0.0960459,3
0.0960931,4
0.0961403,5
0.0965179,6
0.0965179,5
0.0965651,6
0.0966123,7
0.0966244,8
0.0966595,9
0.0969899,8
0.0974619,9
0.0974619,8
0.0975091,9
0.0975563,10
0.0976035,11
0.0979339,10
0.0981469,11
0.0984059,10
0.0988779,9
0.0993499,8
0.0996694,9
0.0998219,10
0.0998219,9
0.0998691,10
0.0999163,11
0.100294,12
0.100294,11
0.100341,12
0.100388,13
0.100436,14
0.100766,13
0.101192,14
0.101238,15
0.101238,14
0.101285,15
0.101332,16
0.10138,17
0.10171,16
0.102182,15
0.102654,14
0.102714,15
0.103126,14
0.103598,15
0.103598,14
0.103645,15
0.103692,16
0.10407,17
0.10407,16
0.104117,17
0.104164,18
0.104212,19
0.104237,20
0.104542,19
0.105014,20
0.105014,19
0.105061,20
0.105108,21
0.105156,22
0.105486,21
0.105759,22
0.105958,21
0.10643,20
0.106902,19
0.107282,20
0.107374,21
0.107374,20
0.107421,21
0.107468,22
0.107516,23
0.107846,22
0.108318,21
0.10879,20
0.108804,21
0.109262,20
0.109734,19
0.110206,18
0.110327,19
0.110678,18
0.11115,17
0.111622,16
0.111849,17
0.112094,16
0.112566,15
0.113038,14
0.113372,15
0.11351,14
0.113982,13
0.114454,12
0.114894,13
0.114926,12
0.115398,11
0.11587,10
0.116342,9
0.116417,10
0.116814,9
0.117286,8
0.117758,7
0.117939,8
0.11823,7
0.118702,6
0.119174,5
0.119646,4
0.120118,3
0.12059,2
0.121062,1
0.121534,0
0.134442,1
0.134442,0
0.134489,1
0.134536,2
0.134914,1
0.135386,2
0.135386,1
0.135433,2
0.13548,3
0.135527,4
0.135858,3
0.13633,4
0.13633,3
0.136802,2
0.136888,3
0.136935,4
0.136983,5
0.137274,4
0.137746,3
0.137832,4
0.137852,5
0.137879,6
0.137927,7
0.138218,6
0.138304,7
0.138351,8
0.138399,9
0.138446,10
0.13869,9
0.139162,8
0.139375,9
0.139634,8
0.13972,9
0.139767,10
0.139815,11
0.139862,12
0.140106,11
0.140578,10
0.140664,11
0.140711,12
0.140759,13
0.140806,14
0.140897,15
0.14105,14
0.141522,13
0.141994,12
0.14242,13
0.142466,12
0.142552,13
0.142599,14
0.142647,15
0.142938,14
0.14341,13
0.143496,14
0.143543,15
0.143591,16
0.143638,17
0.143882,16
0.143942,17
0.144354,16
0.14444,17
0.144487,18
0.144535,19
0.144582,20
0.144826,19
0.145298,18
0.145465,19
0.14577,18
0.145856,19
0.145903,20
0.145951,21
0.145998,22
0.146242,21
0.146714,20
0.1468,21
0.146847,22
0.146895,23
0.146942,24
0.146987,25
0.147186,24
0.147658,23
0.14813,22
0.14851,23
0.148602,22
0.148688,23
0.148735,24
0.148783,25
0.149074,24
0.149546,23
0.149632,24
0.149679,25
0.149727,26
0.149962,27
0.150018,26
0.150104,27
0.150151,28
0.150199,29
0.150246,30
0.15049,29
0.150962,28
0.151048,29
0.151095,30
0.151143,31
0.15119,32
0.151414,33
0.151434,32
0.151906,31
0.152378,30
0.152464,31
0.152511,32
0.152559,33
0.152606,34
0.15285,33
0.152866,34
0.153322,33
0.153408,34
0.153455,35
0.153503,36
0.15355,37
0.153794,36
0.154266,35
0.154318,36
0.154738,35
0.15521,34
0.155296,35
0.155343,36
0.155391,37
0.155682,36
0.15577,37
0.156154,36
0.15624,37
0.156287,38
0.156335,39
0.156382,40
0.156626,39
0.157098,38
0.157184,39
0.157221,40
0.157231,41
0.157279,42
0.157326,43
0.15757,42
0.158042,41
0.158514,40
0.1586,41
0.158647,42
0.158673,43
0.158695,44
0.158742,45
0.158986,44
0.159458,43
0.159544,44
0.159591,45
0.159639,46
0.159686,47
0.15993,46
0.160125,47
0.160402,46
0.160874,45
0.161346,44
0.161432,45
0.161479,46
0.161527,47
0.161574,48
0.161577,49
0.161818,48
0.16229,47
0.162376,48
0.162423,49
0.162471,50
0.162518,51
0.162762,50
0.163029,51
0.163234,50
0.163706,49
0.164178,48
0.164481,49
0.16465,48
0.165122,47
0.165594,46
0.165933,47
0.166066,46
0.166538,45
0.16701,44
0.167138,45
0.167482,44
0.167954,43
0.168342,44
0.168426,43
0.168898,42
0.16937,41
0.169547,42
0.169842,41
0.170314,40
0.170751,41
0.170786,40
0.171258,39
0.17173,38
0.171956,39
0.172202,38
0.172674,37
0.173146,36
0.17316,37
0.173618,36
0.17409,35
0.174365,36
0.174562,35
0.175034,34
0.175506,33
0.175569,34
0.175978,33
0.17645,32
0.176774,33
0.176922,32
0.177394,31
0.177866,30
0.177978,31
0.178338,30
0.17881,29
0.17906,30
0.179107,31
0.179154,32
0.179183,33
0.179282,32
0.179754,31
0.180004,32
0.180051,33
0.180098,34
0.180226,33
0.180387,34
0.180476,35
0.180523,36
0.18057,37
0.180618,38
0.180698,37
0.18117,36
0.18142,37
0.181467,38
0.181514,39
0.181562,40
0.181592,41
0.181642,40
0.182114,39
0.182586,38
0.182796,39
0.183058,38
0.183308,39
0.183355,40
0.183402,41
0.18353,40
0.18369,41
0.184002,40
0.184252,41
0.184299,42
0.184346,43
0.184474,42
0.184584,43
0.184946,42
0.185418,41
0.185478,42
0.185668,43
0.185715,44
0.185762,45
0.18589,44
0.18614,45
0.186187,46
0.186234,47
0.186282,48
0.186362,47
0.186371,48
0.186834,47
0.187084,48
0.187131,49
0.187178,50
0.187226,51
0.187265,52
0.187306,51
0.187778,50
0.188159,51
0.18825,50
0.1885,51
0.188547,52
0.188594,53
0.188642,54
0.188722,53
0.188964,54
0.189194,53
0.189444,54
0.189491,55
0.189538,56
0.189586,57
0.189666,56
0.189768,57
0.190138,56
0.190388,57
0.190435,58
0.190482,59
0.19053,60
0.190573,61
0.19061,60
0.191082,59
0.191332,60
0.191379,61
0.191426,62
0.191474,63
0.191554,62
0.192026,61
0.192498,60
0.192748,61
0.19297,60
0.193442,59
0.193552,60
0.193692,61
0.193739,62
0.193786,63
0.193914,62
0.194357,63
0.194386,62
0.194636,63
0.194683,64
0.19473,65
0.194778,66
0.194858,65
0.195161,66
0.19533,65
0.19558,66
0.195627,67
0.195674,68
0.195722,69
0.195802,68
0.196274,67
0.196746,66
0.196996,67
0.197043,68
0.19709,69
0.197138,70
0.197218,69
0.19769,68
0.19794,69
0.197987,70
0.198034,71
0.198082,72
0.198162,71
0.198634,70
0.198884,71
0.199106,70
0.199356,71
0.199403,72
0.19945,73
0.199498,74
0.199578,73
0.199688,74
0.20005,73
0.2003,74
0.200347,75
0.200394,76
0.200442,77
0.200493,78
0.200522,77
0.200994,76
0.201244,77
0.201291,78
0.201297,79
0.201338,80
0.201386,81
0.201466,80
0.201938,79
0.202188,80
0.202235,81
0.202282,82
0.20233,83
0.20241,82
0.202882,81
0.203354,80
0.203604,81
0.203826,80
0.204076,81
0.204123,82
0.20417,83
0.204298,82
0.204408,83
0.20477,82
0.20502,83
0.205067,84
0.205114,85
0.205213,86
0.205242,85
0.205714,84
0.205964,85
0.206011,86
0.206017,87
0.206058,88
0.206186,87
0.206658,86
0.20713,85
0.20738,86
0.207427,87
0.207474,88
0.207522,89
0.207602,88
0.208074,87
0.208324,88
0.208371,89
0.208418,90
0.208466,91
0.208546,90
0.209018,89
0.209268,90
0.209315,91
0.209362,92
0.20941,93
0.20949,92
0.209962,91
0.210212,92
0.210259,93
0.210306,94
0.210354,95
0.210434,94
0.210906,93
0.211156,94
0.211378,93
0.211628,94
0.211675,95
0.211722,96
0.21177,97
0.21185,96
0.21196,97
0.212322,96
0.212572,97
0.212619,98
0.212666,99
0.212714,100
0.212794,99
0.212794,100
0.213266,99
0.213569,100
0.213738,99
0.213988,100
0.21421,99
0.21421,100
0.214682,99
0.214682,100
0.215154,99
0.215154,100
0.215626,99
0.215626,100
0.216098,99
0.216098,100
0.21657,99
0.21657,100
0.217042,99
0.217042,100
0.217514,99
0.217514,100
0.217986,99
0.217986,100
0.218458,99
0.218458,100
0.21893,99
0.21893,100
0.219402,99
0.219402,100
0.219874,99
0.219874,100
0.220346,99
0.220346,100
0.220818,99
0.220818,100
0.22129,99
0.22129,100
0.221762,99
0.221762,100
0.222234,99
0.222234,100
0.222706,99
0.222706,100
0.223178,99
0.223178,100
0.22365,99
0.22365,100
0.224122,99
0.224122,100
0.224594,99
0.224594,100
0.225066,99
0.225066,100
0.225538,99
0.225538,100
0.22601,99
0.22601,100
0.226482,99
0.226482,100
0.226954,99
0.226954,100
0.227426,99
0.227426,100
0.227898,99
0.227898,100
0.22837,99
0.22837,100
0.228842,99
0.228842,100
0.229314,99
0.229314,100
0.229786,99
0.229786,100
0.230258,99
0.230258,100
0.23073,99
0.23073,100
0.231202,99
0.231202,100
0.231674,99
0.231674,100
0.232146,99
0.232146,100
0.232618,99
0.232618,100
0.23309,99
0.23309,100
0.233562,99
0.233562,100
0.234034,99
0.234034,100
0.234506,99
0.234506,100
0.234978,99
0.234978,100
0.23545,99
0.23545,100
0.235922,99
0.235922,100
0.236394,99
0.236394,100
0.236866,99
0.236866,100
0.237338,99
0.237338,100
0.23781,99
0.23781,100
0.238282,99
0.238282,100
0.238754,99
0.238754,100
0.239226,99
0.239226,100
0.239698,99
0.239698,100
0.24017,99
0.24017,100
0.240642,99
0.240642,100
0.241114,99
0.241114,100
0.241586,99
0.241586,100
0.242058,99
0.242058,100
0.24253,99
0.24253,100
0.243002,99
0.243002,100
0.243474,99
0.243474,100
0.243946,99
0.243946,100
0.244418,99
0.244418,100
0.24489,99
0.24489,100
0.245362,99
0.245362,100
0.245834,99
0.245834,100
0.246306,99
0.246306,100
0.246778,99
0.246778,100
0.24725,99
0.24725,100
0.247722,99
0.247722,100
0.248194,99
0.248194,100
0.248666,99
0.248666,100
0.249138,99
0.249138,100
0.24961,99
0.24961,100
0.250082,99
0.250082,100
0.250554,99
0.250554,100
0.251026,99
0.251026,100
0.251498,99
0.251498,100
0.25197,99
0.25197,100
0.252442,99
0.252442,100
0.252914,99
0.252914,100
0.253386,99
0.253386,100
0.253858,99
0.253858,100
0.25433,99
0.25433,100
0.254802,99
0.254802,100
0.255274,99
0.255274,100
0.255746,99
0.255746,100
0.256218,99
0.256218,100
0.25669,99
0.25669,100
0.257162,99
0.257162,100
0.257634,99
0.257634,100
0.258106,99
0.258106,100
0.258578,99
0.258578,100
0.25905,99
0.25905,100
0.259522,99
0.259522,100
0.259994,99
0.259994,100
0.260466,99
0.260466,100
0.260938,99
0.260938,100
0.26141,99
0.26141,100
0.261882,99
0.261882,100
0.262354,99
0.262354,100
0.262826,99
0.262826,100
0.263298,99
0.263298,100
0.26377,99
0.26377,100
0.264242,99
0.264242,100
0.264714,99
0.264714,100
0.265186,99
0.265186,100
0.265658,99
0.265658,100
0.26613,99
0.26613,100
0.266602,99
0.266602,100
0.267074,99
0.267074,100
0.267546,99
0.267546,100
0.268018,99
0.268018,100
0.26849,99
0.26849,100
0.268962,99
0.268962,100
0.269434,99
0.269434,100
0.269906,99
0.269906,100
0.270378,99
0.270378,100
0.27085,99
0.27085,100
0.271322,99
0.271322,100
0.271794,99
0.271794,100
0.272266,99
0.272266,100
0.272738,99
0.272738,100
0.27321,99
0.27321,100
0.273682,99
0.273682,100
0.274154,99
0.274154,100
0.274626,99
0.274626,100
0.275098,99
0.275098,100
0.27557,99
0.27557,100
0.276042,99
0.276042,100
0.276514,99
0.276514,100
0.276986,99
0.276986,100
0.277458,99
0.277458,100
0.27793,99
0.27793,100
0.278402,99
0.278402,100
0.278874,99
0.278874,100
0.279346,99
0.279346,100
0.279818,99
0.279818,100
0.28029,99
0.28029,100
0.280762,99
0.280762,100
0.281234,99
0.281234,100
0.281706,99
0.281706,100
0.282178,99
0.282178,100
0.28265,99
0.28265,100
0.283122,99
0.283122,100
0.283594,99
0.283594,100
0.284066,99
0.284066,100
0.284538,99
0.284538,100
0.28501,99
0.28501,100
0.285482,99
0.285482,100
0.285954,99
0.285954,100
0.286426,99
0.286426,100
0.286898,99
0.286898,100
0.28737,99
0.28737,100
0.287842,99
0.287842,100
0.288314,99
0.288314,100
0.288786,99
0.288786,100
0.289258,99
0.289258,100
0.28973,99
0.28973,100
0.290202,99
0.290202,100
0.290674,99
0.290674,100
0.291146,99
0.291146,100
0.291618,99
0.291618,100
0.29209,99
0.29209,100
0.292562,99
0.292562,100
0.293034,99
0.293034,100
0.293506,99
0.293506,100
0.293978,99
0.293978,100
0.29445,99
0.29445,100
0.294922,99
0.294922,100
0.295394,99
0.295394,100
0.295866,99
0.295866,100
0.296338,99
0.296338,100
0.29681,99
0.29681,100
0.297282,99
0.297282,100
0.297754,99
0.297754,100
0.298226,99
0.298226,100
0.298698,99
0.298698,100
